hsChr Start Stop
hs1 1083805 1283805
hs1 1609516 1720123
hs1 8668859 8812827
hs1 13245159 13429749
hs1 16880179 16998245
hs1 37714745 37826968
hs1 57288465 57408242
hs1 67485262 67607550
hs1 83274363 83403829
hs1 95469800 95527429
hs1 103956056 104113271
hs1 113251567 113304968
hs1 172735904 172836399
hs1 174297609 174457198
hs1 231322487 231474039
hs1 246754133 246932000
hs2 35717573 35885590
hs2 61513628 61673319
hs2 81586923 81786598
hs2 105711636 105852218
hs2 130418003 130583445
hs2 131997315 132171474
hs2 170976681 171137832
hs2 173464862 173621749
hs2 190008980 190176870
hs2 219915163 220098787
hs2 240559949 240731368
hs2 242552131 242732170
hs3 120926480 121091572
hs3 141263370 141441454
hs3 153502267 153697700
hs3 165317569 165466432
hs3 168998467 169156081
hs3 178755562 178913002
hs3 197207027 197370697
hs3 198377055 198548235
hs3 199157777 199357777
hs4 34453717 34603120
hs4 91837420 91987670
hs4 104578380 104717502
hs4 112484539 112501786
hs4 125060158 125231515
hs4 154769037 154918351
hs4 161192132 161363795
hs4 162954067 163063093
hs4 171360186 171524530
hs4 190938587 191019567
hs5 17465420 17636603
hs5 35821275 35991840
hs5 41237161 41386317
hs5 69777035 69816329
hs5 79882591 80063088
hs5 85443998 85587282
hs5 127176898 127327842
hs5 179108621 179268202
hs6 89702 213735
hs6 89702 213735
hs6 5800622 5987503
hs6 32958730 33107258
hs6 38399808 38498657
hs6 46034622 46158141
hs6 62236549 62301785
hs6 62539436 62639101
hs6 65020368 65158547
hs6 66171873 66191469
hs6 71600100 71684399
hs6 73586974 73744757
hs6 109965514 110100592
hs6 124250521 124335284
hs6 128252093 128357560
hs6 146665208 146865524
hs7 1079307 1183591
hs7 18697292 18872981
hs7 18222209 18422209
hs7 19044740 19077902
hs7 19073773 19109124
hs7 19105690 19144023
hs7 19145311 19176644
hs7 19078605 19114877
hs7 19193716 19228489
hs7 62015310 62177238
hs7 83058390 83205508
hs7 86493774 86640658
hs7 101390724 101568625
hs7 112297910 112436546
hs7 143246098 143375452
hs7 154256381 154418755
hs8 16716673 16894504
hs8 80250946 80410022
hs8 86898422 86955420
hs8 134076082 134219260
hs8 135975722 136154996
hs9 216470 304484
hs9 615148 812246
hs9 15220016 15401786
hs9 17136369 17298494
hs9 89444561 89614800
hs4 28818849 28983103
hs9 114865612 114972775
hs9 135531566 135710693
hs9 138370650 138559111
hs9 140077448 140165536
hs10 46487307 46562342
hs10 78621100 78713021
hs11 10149870 10309473
hs11 11681593 11828393
hs11 29370791 29480699
hs11 48644550 48801171
hs11 56357375 56507039
hs11 58456668 58618256
hs11 62270860 62448065
hs11 78034240 78206818
hs11 84347356 84517431
hs11 95569602 95712636
hs11 102438737 102497333
hs11 103803549 103965007
hs11 114312722 114403784
hs11 115830842 116041424
hs12 3099613 3265128
hs12 20833482 21009087
hs12 22210387 22369559
hs12 54839345 55189174
hs12 87374561 87546806
hs12 110988648 111165315
hs13 20266985 20427181
hs13 48069307 48242971
hs13 56600597 56729949
hs13 64052968 64056453
hs13 80203304 80367022
hs13 82411999 82576851
hs14 20923484 20941004
hs14 28581578 28768137
hs14 34404823 34591592
hs14 80497720 80650761
hs14 102319877 102479478
hs14 105867236 106175506
hs15 23337062 23504662
hs15 30654133 30830813
hs15 31529648 31681236
hs15 32397743 32458774
hs15 48172576 48330980
hs15 70606852 70796524
hs15 80913914 81082896
hs15 95833747 95937053
hs15 100014978 100170013
hs16 32562031 32772923
hs16 34289162 34490212
hs16 34476098 34627118
hs16 51825384 52014243
hs16 84512377 84607815
hs16 88569694 88692424
hs17 36749372 36924021
hs17 38235012 38412429
hs17 42087498 42244497
hs17 44275867 44426887
hs17 47968637 48136235
hs17 59472574 59627204
hs17 65539254 65725854
hs17 74115005 74234926
hs17 75316874 75477363
