chr1 617598 621268 fill_color=chr16,z=29
chr1 23080 24249 fill_color=chr5,z=77
chr1 441008 442913 fill_color=chr8,z=63
chr1 320004 321732 fill_color=chr7,z=66
chr1 658819 661755 fill_color=chr13,z=43
chr1 719877 720355 fill_color=chr2,z=90
chr1 351209 352495 fill_color=chr5,z=75
chr1 459315 463055 fill_color=chr17,z=28
chr1 242435 243138 fill_color=chr3,z=86
chr1 65371 68148 fill_color=chr12,z=46
chr1 220470 221563 fill_color=chr5,z=79
chr1 504901 506977 fill_color=chr9,z=60
chr1 634075 635118 fill_color=chr4,z=80
chr1 735668 736366 fill_color=chr3,z=86
chr1 398408 399878 fill_color=chr6,z=71
chr1 800659 801663 fill_color=chr4,z=80
chr1 340860 341427 fill_color=chr2,z=89
chr1 880929 881637 fill_color=chr3,z=86
chr1 665268 666157 fill_color=chr4,z=82
chr1 87484 91139 fill_color=chr16,z=30
chr1 984715 985895 fill_color=chr5,z=77
chr1 336151 337793 fill_color=chr7,z=68
chr1 332664 333568 fill_color=chr4,z=82
chr1 371390 373424 fill_color=chr9,z=61
chr1 53151 53893 fill_color=chr3,z=85
chr1 915875 918844 fill_color=chr13,z=43
chr1 749900 750107 fill_color=chr0,z=96
chr1 49389 51317 fill_color=chr8,z=63
chr1 225508 227828 fill_color=chr10,z=55
chr1 957485 958274 fill_color=chr3,z=84
chr1 904174 904551 fill_color=chr1,z=92
chr1 606234 608097 fill_color=chr8,z=64
chr1 105324 107415 fill_color=chr9,z=59
chr1 78219 78579 fill_color=chr1,z=93
chr1 311119 315324 fill_color=chr19,z=19
chr1 474065 476807 fill_color=chr12,z=47
chr1 455258 457094 fill_color=chr8,z=64
chr1 390104 391762 fill_color=chr7,z=68
chr1 658959 660292 fill_color=chr6,z=74
chr1 332666 333917 fill_color=chr5,z=76
chr1 981607 982036 fill_color=chr1,z=91
chr1 816232 817362 fill_color=chr5,z=78
chr1 129431 129847 fill_color=chr1,z=92
chr1 88750 89386 fill_color=chr2,z=87
chr1 480909 480998 fill_color=chr0,z=98
chr1 328454 332184 fill_color=chr17,z=28
chr1 109535 110534 fill_color=chr4,z=80
chr1 517061 518462 fill_color=chr6,z=73
chr1 699241 700975 fill_color=chr7,z=66
chr1 803446 804790 fill_color=chr6,z=74
chr1 220595 223437 fill_color=chr13,z=45
chr1 473717 475441 fill_color=chr7,z=67
chr1 601912 602305 fill_color=chr1,z=92
chr1 209753 211771 fill_color=chr9,z=61
chr1 519348 520351 fill_color=chr4,z=80
chr1 242959 245285 fill_color=chr10,z=55
chr1 271466 273204 fill_color=chr7,z=66
chr1 196860 198361 fill_color=chr6,z=71
chr1 116573 117648 fill_color=chr4,z=79
chr1 883173 885200 fill_color=chr9,z=61
chr1 287681 289345 fill_color=chr7,z=68
chr1 78368 80180 fill_color=chr8,z=65
chr1 762559 763096 fill_color=chr2,z=89
chr1 967855 968880 fill_color=chr4,z=80
chr1 965029 967565 fill_color=chr11,z=51
chr1 170305 171110 fill_color=chr3,z=84
chr1 568711 570735 fill_color=chr9,z=61
chr1 334067 335190 fill_color=chr5,z=78
chr1 79593 81749 fill_color=chr9,z=58
chr1 463398 463866 fill_color=chr2,z=91
chr1 577194 577940 fill_color=chr3,z=85
chr1 957472 959570 fill_color=chr9,z=59
chr1 885333 885731 fill_color=chr1,z=92
chr1 441484 442333 fill_color=chr3,z=83
chr1 415476 415815 fill_color=chr1,z=93
chr1 862273 865505 fill_color=chr14,z=38
chr1 53848 54037 fill_color=chr0,z=96
chr1 289251 290689 fill_color=chr6,z=72
chr1 542382 544575 fill_color=chr10,z=58
chr1 680263 682089 fill_color=chr8,z=65
chr1 255359 256077 fill_color=chr3,z=86
chr1 809087 812292 fill_color=chr14,z=38
chr1 322917 325260 fill_color=chr10,z=55
chr1 619997 620951 fill_color=chr4,z=81
chr1 92681 94582 fill_color=chr8,z=63
chr1 652523 653801 fill_color=chr5,z=75
chr1 279346 279748 fill_color=chr1,z=92
chr1 859932 862141 fill_color=chr10,z=57
chr1 993704 996156 fill_color=chr11,z=53
chr1 295465 296323 fill_color=chr3,z=83
chr1 728087 728611 fill_color=chr2,z=89
chr1 793935 796607 fill_color=chr12,z=48
chr1 28751 31086 fill_color=chr10,z=55
chr1 893165 894053 fill_color=chr4,z=82
chr1 701007 702663 fill_color=chr7,z=68
chr1 830027 830880 fill_color=chr3,z=83
chr1 842668 843460 fill_color=chr3,z=84
chr1 350710 352497 fill_color=chr8,z=65
chr1 593960 595406 fill_color=chr6,z=72
chr1 160610 163519 fill_color=chr13,z=44
chr1 451211 454683 fill_color=chr15,z=33
chr1 763936 765978 fill_color=chr9,z=60
chr1 616502 619817 fill_color=chr15,z=36
chr1 812254 813231 fill_color=chr4,z=81
chr1 348985 352835 fill_color=chr17,z=26
chr1 715576 718064 fill_color=chr11,z=52
chr1 518985 521819 fill_color=chr13,z=45
chr1 463497 463595 fill_color=chr0,z=98
chr1 591813 594247 fill_color=chr11,z=53
chr1 659349 662315 fill_color=chr13,z=43
chr1 634619 637493 fill_color=chr13,z=45
chr1 748870 751360 fill_color=chr11,z=52
chr1 457884 459104 fill_color=chr5,z=76
chr1 963544 964527 fill_color=chr4,z=81
chr1 335198 337270 fill_color=chr9,z=60
chr1 695954 696902 fill_color=chr4,z=81
chr1 245541 247678 fill_color=chr9,z=59
chr1 803802 804477 fill_color=chr3,z=87
chr1 104098 105902 fill_color=chr8,z=65
chr1 359634 361692 fill_color=chr9,z=60
chr1 345368 348614 fill_color=chr14,z=37
chr1 446417 449071 fill_color=chr12,z=49
chr1 575928 577054 fill_color=chr5,z=78
chr1 804627 806651 fill_color=chr9,z=61
chr1 122674 122730 fill_color=chr0,z=98
chr1 18313 20127 fill_color=chr8,z=65
chr1 778929 780086 fill_color=chr5,z=77
chr1 165021 166395 fill_color=chr6,z=73
chr1 384138 387404 fill_color=chr14,z=37
chr1 353197 353362 fill_color=chr0,z=96
chr1 97397 98844 fill_color=chr6,z=72
chr1 289930 290356 fill_color=chr1,z=91
chr1 377764 378424 fill_color=chr3,z=87
chr1 186234 187114 fill_color=chr4,z=83
chr1 3245 4548 fill_color=chr5,z=75
chr1 319981 323505 fill_color=chr16,z=32
chr1 815332 816242 fill_color=chr4,z=82
chr1 858601 859299 fill_color=chr3,z=86
chr1 698157 698486 fill_color=chr1,z=93
chr1 673353 675866 fill_color=chr11,z=51
chr1 315956 319240 fill_color=chr15,z=37
chr1 820585 822732 fill_color=chr9,z=58
chr1 473083 474058 fill_color=chr4,z=81
chr1 236288 237550 fill_color=chr5,z=75
chr1 781259 782226 fill_color=chr4,z=81
chr1 885398 888126 fill_color=chr12,z=47
chr1 796042 797160 fill_color=chr5,z=78
chr1 825775 826855 fill_color=chr4,z=79
chr1 438155 439624 fill_color=chr6,z=71
chr1 199089 200621 fill_color=chr7,z=70
chr1 51243 53315 fill_color=chr9,z=60
chr1 136595 138085 fill_color=chr6,z=71
chr1 863570 864550 fill_color=chr4,z=81
chr1 833884 836163 fill_color=chr10,z=56
chr1 94470 97686 fill_color=chr14,z=38
chr1 706609 707591 fill_color=chr4,z=81
chr1 53962 54162 fill_color=chr0,z=96
chr1 377729 381232 fill_color=chr16,z=33
chr1 686672 686692 fill_color=chr0,z=99
chr1 879564 881288 fill_color=chr7,z=67
chr1 166817 169260 fill_color=chr11,z=53
chr1 742148 743933 fill_color=chr8,z=65
chr1 698182 700595 fill_color=chr11,z=53
chr1 150533 153721 fill_color=chr14,z=39
chr1 664932 666983 fill_color=chr9,z=60
chr1 19634 21123 fill_color=chr6,z=71
chr1 221222 221728 fill_color=chr2,z=90
chr1 622998 623731 fill_color=chr3,z=85
chr1 289099 290721 fill_color=chr7,z=68
chr1 732374 732750 fill_color=chr1,z=92
chr1 323106 324992 fill_color=chr8,z=63
chr1 956725 957162 fill_color=chr2,z=91
chr1 200567 202657 fill_color=chr9,z=60
chr1 383313 384697 fill_color=chr6,z=73
chr1 754374 756495 fill_color=chr9,z=59
chr1 150702 153560 fill_color=chr13,z=45
chr1 229508 232122 fill_color=chr11,z=50
chr1 271297 272176 fill_color=chr4,z=83
chr1 85864 86690 fill_color=chr3,z=84
chr1 684918 687309 fill_color=chr10,z=54
chr1 975612 976504 fill_color=chr4,z=82
chr1 2733 5727 fill_color=chr13,z=42
chr1 280411 282367 fill_color=chr8,z=62
chr1 978812 980350 fill_color=chr7,z=70
chr1 396357 398139 fill_color=chr8,z=65
chr1 727008 730889 fill_color=chr17,z=25
chr1 855473 856784 fill_color=chr6,z=74
chr1 243272 245214 fill_color=chr8,z=62
chr1 929604 930952 fill_color=chr6,z=74
chr1 561482 563532 fill_color=chr9,z=60
chr1 512752 514754 fill_color=chr9,z=61
chr1 678640 680424 fill_color=chr8,z=65
chr1 400651 401506 fill_color=chr3,z=83
chr1 939688 940657 fill_color=chr4,z=81
chr1 303160 304777 fill_color=chr7,z=69
chr1 564979 567160 fill_color=chr10,z=58
chr1 308236 311969 fill_color=chr17,z=28
chr1 214209 216087 fill_color=chr8,z=64
chr1 166601 167220 fill_color=chr2,z=88
chr1 205616 205733 fill_color=chr0,z=97
chr1 246054 246444 fill_color=chr1,z=92
chr1 40411 42066 fill_color=chr7,z=68
chr1 595741 598284 fill_color=chr11,z=51
chr1 413647 414123 fill_color=chr2,z=90
chr1 451008 455079 fill_color=chr18,z=22
chr1 140777 143354 fill_color=chr11,z=50
chr1 483746 486725 fill_color=chr13,z=43
chr1 407699 410261 fill_color=chr11,z=51
chr1 859588 860086 fill_color=chr2,z=90
